date_applicable,total_tonnage,recycling_tonnage,refuse_tonnage,OBJECTID
11/13/2019,177.13,59.97,177.13,199
11/14/2019,155.6,71.87,155.6,200
11/15/2019,136.44,56.66,136.44,201
11/16/2019,0.36,0,0.36,202
11/17/2019,0.48,0,0.48,203
11/18/2019,176.2,69.23,176.2,204
11/19/2019,163.46,62.13,163.46,205
11/20/2019,199.94,71.66,199.94,206
11/21/2019,169.02,74.77,169.02,207
11/22/2019,148.43,59.78,148.43,208
11/25/2019,181.55,61.65,181.55,209
11/26/2019,171.15,65.74,171.15,210
11/27/2019,287.56,123,287.56,211
12/1/2019,0.63,0,0.63,212
12/2/2019,361.7,147.01,361.7,213
12/3/2019,168.75,68.8,168.75,214
12/4/2019,218.92,87.6,218.92,215
12/5/2019,184.67,68.44,184.67,216
12/6/2019,116.07,66.12,116.07,217
12/8/2019,4.53,0,4.53,218
12/9/2019,164.56,65.31,164.56,219
12/10/2019,147.52,58.38,147.52,220
12/11/2019,171.59,65.96,171.59,221
12/12/2019,140.51,87.41,140.51,222
12/13/2019,129.86,49.57,129.86,223
12/16/2019,154.85,70.17,154.85,224
12/17/2019,136.74,63.1,136.74,225
12/18/2019,165.67,76.79,165.67,226
12/19/2019,130.39,63.73,130.39,227
12/20/2019,128.7,58.75,128.7,228
12/23/2019,153.7,67.12,153.7,229
12/24/2019,116.4,48.9,116.4,230
12/26/2019,275.45,115.78,275.45,231
12/27/2019,139.91,57.85,139.91,232
12/30/2019,182.18,74.88,182.18,233
12/31/2019,169.85,64.57,169.85,234
3/25/2020,211.98,84.6,211.98,235
3/26/2020,167.54,63.97,167.54,236
3/27/2020,158.25,65.2,158.25,237
3/30/2020,182.46,65.43,182.46,238
3/31/2020,172.53,65.49,172.53,239
4/1/2020,210.87,71.28,210.87,240
4/2/2020,167.15,85.92,167.15,241
4/3/2020,165.2,62.56,165.2,242
4/6/2020,205.23,78.09,205.23,243
4/7/2020,167.65,72.98,167.65,244
4/8/2020,235.14,92.7,235.14,245
4/9/2020,160.69,69.58,160.69,246
4/10/2020,161.62,65.14,161.62,247
4/13/2020,187.33,68.84,187.33,248
4/14/2020,168.82,63.06,168.82,249
4/15/2020,206.31,67.46,206.31,250
4/16/2020,160.55,78.29,160.55,251
4/17/2020,154.75,58.43,154.75,252
4/20/2020,213.02,75.5,213.02,253
4/21/2020,186.68,68.3,186.68,254
4/22/2020,224.07,88.24,224.07,255
4/23/2020,145.95,64.09,145.95,256
4/24/2020,168.77,64.96,168.77,257
4/27/2020,197.38,70.32,197.38,258
4/28/2020,188.72,60.11,188.72,259
4/29/2020,220.59,73.82,220.59,260
4/30/2020,182.11,78.58,182.11,261
5/1/2020,197.41,61.4,197.41,262
5/4/2020,222.5,72.34,222.5,263
5/5/2020,200.9,70.08,200.9,264
5/6/2020,248.64,92.23,248.64,265
5/8/2020,179.58,65.2,179.58,266
5/11/2020,199.31,69.17,199.31,267
5/12/2020,184.18,64.6,184.18,268
5/13/2020,228.54,67.45,228.54,269
5/14/2020,170.2,81.67,170.2,270
5/15/2020,166.49,0,166.49,271
5/18/2020,221.31,0,221.31,272
5/19/2020,197.6,71.47,197.6,273
5/20/2020,238.64,0,238.64,274
5/21/2020,186.96,0,186.96,275
5/22/2020,197.89,65.79,197.89,276
5/26/2020,469.07,141.37,469.07,277
5/27/2020,266.97,70.86,266.97,278
5/28/2020,193.19,69.87,193.19,279
5/29/2020,195.2,64.43,195.2,280
6/1/2020,210.31,77.85,210.31,281
6/2/2020,208.67,70.06,208.67,282
6/3/2020,259.79,98.52,259.79,283
6/4/2020,202.06,72.67,202.06,284
6/5/2020,191.9,67.53,191.9,285
6/8/2020,220.72,64.86,220.72,286
6/9/2020,190.17,64.74,190.17,287
6/10/2020,237.41,70.75,237.41,288
6/11/2020,191.8,85.52,191.8,289
6/12/2020,169.51,62.59,169.51,290
6/15/2020,218.65,79.43,218.65,291
6/16/2020,200.5,70.8,200.5,292
6/17/2020,244.37,86.55,244.37,293
6/18/2020,182.31,70.28,182.31,294
6/19/2020,175.94,64.92,175.94,295
6/22/2020,198.8,68.16,198.8,296
6/23/2020,179.21,63.65,179.21,297
6/24/2020,218.44,71.73,218.44,298
6/25/2020,164.2,79.96,164.2,299
6/26/2020,174.94,60.16,174.94,300
6/29/2020,215.54,74.79,215.54,301
6/30/2020,197.6,69.3,197.6,302
7/1/2020,230.53,86.98,230.53,303
7/2/2020,177.33,69.87,177.33,304
7/3/2020,170.25,62.08,170.25,305
7/6/2020,178.27,66.03,178.27,306
7/7/2020,189.22,62.59,189.22,307
7/9/2020,173.05,77.72,173.05,308
7/10/2020,165.97,62.1,165.97,309
7/13/2020,211.65,74.22,211.65,310
7/14/2020,184.32,67.53,184.32,311
7/15/2020,242.71,87.54,242.71,312
7/16/2020,179.77,70.31,179.77,313
7/17/2020,171.65,65.5,171.65,314
7/20/2020,191.25,59.35,191.25,315
7/21/2020,187.75,69.18,187.75,316
7/22/2020,233.82,70.79,233.82,317
7/23/2020,177.81,77.3,177.81,318
7/24/2020,171.02,58.06,171.02,319
7/27/2020,197.39,74.14,197.39,320
7/28/2020,174.49,64.22,174.49,321
7/29/2020,229.7,86.53,229.7,322
