Meeting_ID,Topic,Scheduled_Start_Time,Zoom_Meeting_Start_Time,Zoom_Meeting_End_Time,Duration,Participants,Recording,Agenda_Link,Minutes_Link,Start_Date,Start_Time,Meeting_Duration,Committee
981 5935 7182,"Body-Worn Camera Feasibility Review Committee: Meeting of July 16, 2020",5:30:00 PM,2020-07-16 17:06:00,2020-07-16 19:30:00,2:23:38,35,Yes,https://madison.legistar.com/View.ashx?M=A&ID=796978&GUID=9B49CB0F-65D6-4D70-A57F-7067319C6439,https://madison.legistar.com/View.ashx?M=M&ID=796978&GUID=9B49CB0F-65D6-4D70-A57F-7067319C6439,7/16/2020,17:06,0 days 02:24:00.000000000,Body-Worn Camera Feasibility Review Committee
966 3015 2015,"Finance Committee: Meeting of July 20, 2020",4:30:00 PM,2020-07-20 15:31:00,2020-07-20 20:06:00,4:35:05,75,Yes,https://madison.legistar.com/View.ashx?M=A&ID=726498&GUID=43766632-BA0A-4AAB-9854-B015D2A4A735,https://madison.legistar.com/View.ashx?M=M&ID=726498&GUID=43766632-BA0A-4AAB-9854-B015D2A4A735,7/20/2020,15:31,0 days 04:35:00.000000000,Finance Committee
937 8710 5517,"Board of Building Code, Fire Code, Conveyance Code and Licensing Appeals: Meeting of July 21, 2020 ",12:15:00 PM,2020-07-21 12:18:00,2020-07-21 12:58:00,0:39:57,30,Yes,https://madison.legistar.com/View.ashx?M=A&ID=749322&GUID=EA4383F7-F3FC-42F6-A3F8-B4AF7C05FA7F,https://madison.legistar.com/View.ashx?M=M&ID=749322&GUID=EA4383F7-F3FC-42F6-A3F8-B4AF7C05FA7F,7/21/2020,12:18,0 days 00:40:00.000000000,"Board of Building Code, Fire Code, Conveyance Code and Licensing Appeals"
932 3090 7768,"Common Council Executive Committee: Meeting of July 21, 2020",4:30:00 PM,2020-07-21 15:29:00,2020-07-21 17:34:00,2:04:19,23,Yes,https://madison.legistar.com/View.ashx?M=A&ID=797783&GUID=6B87DE43-EB66-469B-8ADB-A00827585913,https://madison.legistar.com/View.ashx?M=M&ID=797783&GUID=6B87DE43-EB66-469B-8ADB-A00827585913,7/21/2020,15:29,0 days 02:05:00.000000000,Common Council Executive Committee
974 8378 7592,"Common Council: Meeting of July 21, 2020",6:30:00 PM,2020-07-21 17:28:00,2020-07-22 02:21:00,8:53:05,195,Yes,https://madison.legistar.com/View.ashx?M=A&ID=715273&GUID=DB3C6CFB-A210-4C42-B1C6-243ED90E28B1,https://madison.legistar.com/View.ashx?M=M&ID=715273&GUID=DB3C6CFB-A210-4C42-B1C6-243ED90E28B1,7/21/2020,17:28,0 days 08:53:00.000000000,Common Council Executive Committee
932 6441 2313,"Personnel Board: Meeting of July 22, 2020",3:30:00 PM,2020-07-22 15:08:00,2020-07-22 16:43:00,1:34:22,60,No,https://madison.legistar.com/View.ashx?M=A&ID=754443&GUID=50B77E25-1B47-4DB3-A42E-6F6BE41E8A92,https://madison.legistar.com/View.ashx?M=M&ID=754443&GUID=50B77E25-1B47-4DB3-A42E-6F6BE41E8A92,7/22/2020,15:08,0 days 01:35:00.000000000,Personnel Board
965 9829 7217,"Board of Public Works: Meeting of July 22, 2020",4:30:00 PM,2020-07-22 15:29:00,2020-07-22 17:33:00,2:03:47,30,Yes,https://madison.legistar.com/View.ashx?M=A&ID=718263&GUID=E7F35CB3-961F-4BBE-AEC0-B4C1F5460C35,https://madison.legistar.com/View.ashx?M=M&ID=718263&GUID=E7F35CB3-961F-4BBE-AEC0-B4C1F5460C35,7/22/2020,15:29,0 days 02:04:00.000000000,Board of Public Works
918 6671 3991,"Transportation Commission: Meeting of July 22, 2020",5:00:00 PM,2020-07-22 16:01:00,2020-07-22 21:25:00,5:24:36,60,Yes,https://madison.legistar.com/View.ashx?M=A&ID=739141&GUID=F4554A3E-FC89-4C6D-9DFE-0BED51CEA76A,https://madison.legistar.com/View.ashx?M=M&ID=739141&GUID=F4554A3E-FC89-4C6D-9DFE-0BED51CEA76A,7/22/2020,16:01,0 days 05:24:00.000000000,Transportation Commission
994 4000 1367,"President's Work Group on Council Communication Tools & Processes: Meeting of July 23, 2020",12:00:00 PM,2020-07-23 11:39:00,2020-07-23 14:04:00,2:24:45,16,No,https://madison.legistar.com/View.ashx?M=A&ID=794973&GUID=4419FFBF-1002-4CDB-B799-A444E6666E7F,https://madison.legistar.com/View.ashx?M=M&ID=794973&GUID=4419FFBF-1002-4CDB-B799-A444E6666E7F,7/23/2020,11:39,0 days 02:25:00.000000000,President's Work Group on Council Communication Tools & Processes
918 4519 8272,"Madison Food Policy Council - Pandemic Food Access Work Group: Meeting of July 23, 2020",,2020-07-23 12:28:00,2020-07-23 13:51:00,1:23:03,14,No,,,7/23/2020,12:28,0 days 01:23:00.000000000,Madison Food Policy Council
